Total, Toàn bộ
Order, Đơn hàng
Sku, SKU
Continue to shipping, Tiếp tục giao hàng
Continue shopping, Tiếp tục mua sắm
Continue Shopping, Tiếp tục mua sắm
CONTINUE SHOPPING, TIẾP TỤC MUA SẮM
Shopping cart, Giỏ hàng
Product, Sản phẩm
Price, Giá
Quantity, Số lượng
Remove, Xóa
Qty, Số lượng
Sub total, Tạm tính
Discount(${coupon}), Giảm giá(${coupon})
Order summary, Tóm tắt đơn hàng
Taxes and shipping calculated at checkout, Thuế và phí vận chuyển được tính tại thời điểm thanh toán
CHECKOUT, Thanh toán
Change, Thay đổi
Payment Method, Phương thức thanh toán
Shipping Method, Phương thức giao hàng
No payment methods available, Không có phương thức thanh toán nào khả dụng
Place Order, Đặt hàng
My billing address is same as shipping address, Địa chỉ thanh toán của tôi giống với địa chỉ giao hàng
${count} items, ${count} sản phẩm
Discount, Giảm giá
Shipping, Vận chuyển
No tax, Không có thuế
Tax, Thuế
Sorry, there is no available method for your address, Xin lỗi, không có phương thức nào khả dụng cho địa chỉ của bạn
Please enter a shipping address in order to see shipping quotes, Vui lòng nhập địa chỉ giao hàng để xem báo giá vận chuyển
Continue to payment, Tiếp tục thanh toán
No payment method available, Không có phương thức thanh toán nào khả dụng
Ship to, Giao đến
Shipment, Giao hàng
Thank you ${name}!, Cảm ơn ${name}!
Contact information, Thông tin liên lạc
Order #${orderNumber}, Đơn hàng #${orderNumber}
ADD TO CART, Thêm vào giỏ hàng
Please select variant options, Vui lòng chọn các tùy chọn biến thể
VIEW CART (${count}), Xem giỏ hàng (${count})
JUST ADDED TO YOUR CART, Vừa thêm vào giỏ hàng của bạn
Promotion code?, Mã khuyến mãi?
Enter coupon code, Nhập mã giảm giá
Apply, Áp dụng
Your cart is empty!, Giỏ hàng của bạn trống!